Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f13b4	37.5693572141	0.0	0.0
1np_f11b4	33.10792215	0.0	0.0
1np_f13f1	37.6981651796	0.0	0.0
1np_f5a3	31.2808392088	0.0	0.0
1np_f15a5	36.7336840717	0.0	0.0
1np_f17d7	37.3763265181	0.0	0.0
1np_f15f6	36.6263344731	0.0	0.0
1np_f9d4	27.6606455286	0.0	0.0
1np_f17f7	37.5028871041	0.0	0.0
1np_f8e3	32.5606925626	0.0	0.0
1np_f10d2	32.389780473	0.0	0.0
1np_f12a5	32.6435384977	0.0	0.0
1np_f13f4	37.662467041	0.0	0.0
1np_f15b1	36.7800295482	0.0	0.0
1np_f9a1	32.2576753736	0.0	0.0
1np_f14c5	37.5293673146	0.0	0.0
1np_f17f4	35.1043853211	0.0	0.0
1np_f14c6	36.9124538691	0.0	0.0
1np_f9a2	31.7618970965	0.0	0.0
1np_f15e7	36.6941996937	0.0	0.0
1np_f18d4	31.5070274649	0.0	0.0
1np_f5c2	36.4885161966	0.0	0.0
1np_f6f3	32.5997155818	0.0	0.0
1np_f15d1	36.8066977183	0.0	0.0
1np_f10d1	33.1975191239	0.0	0.0
1np_f10a4	32.7946215458	0.0	0.0
1np_f10e4	27.1641331639	0.0	0.0
1np_f17c3	37.149077489	0.0	0.0
1np_f9g2	31.5475262253	0.0	0.0
1np_f7d6	37.7200284609	0.0	0.0
1np_f9c3	28.644839648	0.0	0.0
1np_f17g2	31.4952450077	0.0	0.0
1np_f14a2	37.4307772783	0.0	0.0
1np_f13b3	27.0021879832	0.0	0.0
1np_f13f6	37.5156448966	0.0	0.0
1np_f7b4	37.6049862224	0.0	0.0
1np_f14g1	37.6136825197	0.0	0.0
1np_f11c6	32.6959519816	0.0	0.0
1np_f10f4	37.4211592947	0.0	0.0
1np_f13g5	37.5558673952	0.0	0.0
1np_f11c5	31.1466452254	0.0	0.0
1np_f17e6	35.0759304673	0.0	0.0
1np_f5g3	25.5254061262	0.0	0.0
1np_f11e3	33.1741905562	0.0	0.0
1np_f18f3	35.6666321724	0.0	0.0
1np_f15f3	27.5715495023	0.0	0.0
1np_f7d5	37.7039475856	0.0	0.0
1np_f7g5	37.5512221776	0.0	0.0
