Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
1np_f15d6	0.0605029195153	9	0.747332686712
1np_f11c6	0.0400222998151	6	0.879765395894
1np_f18e2	0.0472697397377	8	0.621973929236
1np_f10e1	0.00912531909275	3	0.509646302251
1np_f14d1	0.0327601889616	7	0.667711598746
1np_f13g5	0.0748217481881	9	0.789215686275
1np_f13e5	0.017003609049	2	0.377911993097
1np_f13a4	0.0513482585605	9	0.500285714286
1np_f14d2	0.0747630644641	9	0.791993720565
water-control_f12h2	0.00300754085854	1	0.356097560976
1np_f11d3	0.139725947009	14	0.930386392272
1np_f11a4	0.114301223556	14	0.739699653446
1np_f8a2	0.0838443707638	11	0.84321959755
1np_f16b4	0.0472844106687	9	0.826869376357
1np_f17e1	0.125568498577	14	0.807804650076
1np_f13e1	0.0417828115372	8	0.603230337079
1np_f10f6	0.0430004988117	6	0.744114636643
1np_f5f1	0.00691000850914	1	0.231422505308
1np_f15e2	0.0780346820809	8	0.590712539951
1np_f17d5	0.0249552536604	5	0.799529688419
1np_f9f2	0.108080748804	9	0.840233473598
1np_f7a2	0.000572166309674	1	0.282051282051
1np_f13b5	0.0481059828057	8	0.794754498323
1np_f11a5	0.0673689152314	8	0.921167247387
1np_f12g5	0.00506147120096	2	0.353623188406
1np_f17a1	0.0894780082744	13	0.80095097557
1np_f11e3	0.0923388398228	9	0.939307276772
1np_f9e3	0.0997036471935	12	0.864479105356
1np_f17e2	0.0174143951175	4	0.485256950295
1np_f14g3	0.00296352806549	1	0.0693069306931
1np_f9e6	0.0218450162847	6	0.775016789792
1np_f11e5	0.0993955576421	9	0.92295202952
1np_f17e7	0.0122942401925	3	0.420047732697
1np_f16f1	0.111675126904	13	0.82908565423
1np_f12d1	0.00397582230568	2	0.715867158672
1np_f12f1	0.0476218420821	6	0.91651263093
1np_f16f3	0.0542237610399	7	0.842261904762
1np_f18c3	0.0427657639154	10	0.72487135506
1np_f15g5	0.0714034212611	9	0.864803780563
1np_f11a1	0.084930019659	8	0.905337709449
1np_f16d7	0.055148029694	7	0.872572492684
1np_f7c6	0.0248965699363	4	0.882734236889
1np_f16g5	0.0847099556938	9	0.929511603741
1np_f18f4	0.0286229864147	7	0.75089697591
1np_f12a5	0.00158446054987	1	0.157407407407
1np_f16c1	0.109562512837	8	0.882431708623
1np_f12f6	0.0769637041167	12	0.8989706443
1np_f15f2	0.035650362372	5	0.808230452675
1np_f6b4	0.176770047827	15	0.901817578222
1np_f8d5	0.0647428185793	10	0.687060956266
1np_f9a2	0.0438807546727	9	0.817452357071
1np_f7f3	0.121636689064	10	0.94717163189
1np_f14c6	0.0295032422758	7	0.397812033814
1np_f13a3	0.0748951028432	9	0.765523996082
1np_f14f4	0.0576567588979	9	0.732061068702
1np_f11g2	0.000806901205951	1	0.0545454545455
1np_f13c4	0.0615885684106	13	0.77251071939
1np_f17c5	0.0119274669171	3	0.515375153752
1np_f15c4	0.0649775534755	10	0.90607360578
1np_f11d6	0.0937765910625	8	0.942897371715
1np_f18f2	0.0987353657463	10	0.906092124814
1np_f17b3	0.0284322643115	6	0.518575851393
1np_f11g3	0.121255244858	13	0.829401088929
1np_f12e3	0.0539010005575	7	0.904191616766
1np_f14f3	0.0337431413397	10	0.441304347826
1np_f11b5	0.18747982747	14	0.941075201502
1np_f14f6	0.042472345295	7	0.483592400691
1np_f16e5	0.0549573075907	8	0.903630539242
1np_f13g4	0.0740441888442	9	0.838914206459
1np_f12g3	0.0104897156774	2	0.499300699301
1np_f5d3	0.00953610516123	3	0.633846153846
1np_f5d1	0.0684545641266	10	0.906986712387
1np_f11e1	0.0451864675332	6	0.825324675325
1np_f5e3	0.0428244476394	8	0.832476875642
1np_f11e6	0.0959919016461	9	0.932141219624
1np_f16a7	0.0822452392829	9	0.736532286836
1np_f14f5	0.0420175464335	9	0.651536312849
1np_f15d4	0.0248232152812	2	0.914302600473
1np_f8f3	0.0735013643966	9	0.905788423154
1np_f7e4	0.016959596256	3	0.875432525952
1np_f15e4	0.0748364191192	12	0.878063124877
1np_f12d4	0.0565857809337	8	0.149079595541
1np_f15e7	0.072180980605	8	0.888211382114
1np_f14e4	0.0382177753	8	0.699424184261
1np_f16e7	0.0888618291717	10	0.854053161631
1np_f17e3	0.0421055720196	7	0.70487804878
1np_f8a6	0.119509404067	12	0.839553154923
1np_f9e2	0.136380974737	13	0.855421686747
1np_f17d6	0.062791584754	9	0.86308411215
1np_f13c5	0.0406678207799	8	0.779220779221
1np_f9f1	0.0308089551363	6	0.74619047619
1np_f17a3	0.0533728470409	9	0.876580538758
1np_f8b5	0.133960271119	12	0.840871755558
1np_f6g1	0.0862650743816	8	0.936224489796
1np_f13a2	0.0688066664711	9	0.828144989339
1np_f12e5	0.060297526481	9	0.693187347932
1np_f15e1	0.0710806607787	9	0.886274509804
1np_f15g4	0.0350635251313	6	0.823430962343
1np_f16d4	0.0198644405974	5	0.76070901034
1np_f15a5	0.0951996713711	10	0.741716751425
1np_f16c5	0.124072063613	12	0.862362539908
1np_f10a6	0.0108418180218	2	0.779431664411
1np_f14c1	0.0635984859599	10	0.685351787774
1np_f12b1	0.0454945570846	7	0.894872621735
1np_f9a5	0.0438660837417	8	0.781939799331
1np_f10e2	0.10743522784	12	0.86740406937
1np_f12b2	0.0245151257299	6	0.854578096948
1np_f7g2	0.130277867433	14	0.926126126126
1np_f17g1	0.0147296147414	4	0.350597609562
1np_f15c1	0.0128810774332	3	0.838268792711
1np_f7a4	0.0523312109386	4	0.935800392487
1np_f11a2	0.149687509169	10	0.927472312065
1np_f6g3	0.119964202928	12	0.927968692675
1np_f15a7	0.0824946451102	13	0.823937399964
1np_f15b5	0.0388632962648	5	0.902604756512
1np_f16c3	0.0735160353276	12	0.777090401118
1np_f15f5	0.0899328071359	9	0.898205546493
1np_f10c3	0.142102637833	13	0.925975634937
1np_f15g1	0.0212875209061	4	0.779462439697
1np_f14e3	0.0574366949327	10	0.468199233716
1np_f18d2	0.152254922097	13	0.850838311813
1np_f13f6	0.0714474340542	11	0.759753593429
1np_f15c2	0.0452451512573	6	0.878404669261
water-control_f10h3	0.00333030134092	1	0.0969162995595
1np_f12a3	0.0217423197676	4	0.18016194332
1np_f8c1	0.134400399049	12	0.873485427355
1np_f15c7	0.0393914497814	6	0.868156424581
1np_f9d4	0.00176051172207	1	0.358333333333
1np_f9f5	0.0052668642352	1	0.200557103064
1np_f17d2	0.0490009095977	11	0.628143712575
1np_f17f7	0.0791643437693	10	0.713676797628
1np_f13d2	0.0791936856313	12	0.838088180808
1np_f15f4	0.0801766380094	12	0.922232387923
1np_f10a2	0.0760394354626	8	0.868415975304
1np_f15f3	0.0554267773833	9	0.851773425093
1np_f16a3	0.0435873360523	7	0.820262537866
1np_f13d5	0.000205393034242	1	0.0
1np_f11c2	0.153722015199	15	0.907520519183
1np_f12e6	0.00830374695578	4	0.798586572438
1np_f5b1	0.0433966139491	8	0.903651115619
1np_f10g4	0.0716528270884	9	0.883497133497
1np_f16d2	0.046682902497	8	0.611565053426
1np_f15h3	0.0245151257299	5	0.606223818073
1np_f8f6	0.00391713858161	1	0.161048689139
1np_f7b2	0.178090431619	15	0.920668918362
1np_f13g1	0.0506000410786	7	0.742244128733
1np_f18c2	0.0713594084681	13	0.886101973684
1np_f17b1	0.10340072181	15	0.89103291714
1np_f14a1	0.0530207446965	9	0.825124515772
1np_f16d6	0.181332707374	16	0.941990291262
1np_f11f3	0.000278747689328	1	0.105263157895
1np_f15e5	0.0756139784631	10	0.863989134653
1np_f16e3	0.0764355506	9	0.720729366603
1np_f15f6	0.0418708371233	5	0.765241765943
1np_f15g7	0.0700243537455	10	0.923109155667
1np_f16a5	0.0503506352513	9	0.921328671329
1np_f15d3	0.0210527860098	5	0.903832752613
1np_f6f4	0.153678002406	13	0.79723150358
1np_f13e6	0.0765235761861	12	0.758052147239
1np_f7a1	0.0282122003462	7	0.562142485699
1np_f7g5	0.170241483525	14	0.88728024819
1np_f6e3	0.0825679997653	9	0.939765458422
1np_f15h1	0.0476951967372	10	0.81882497693
1np_f10c5	0.00397582230568	1	0.125461254613
1np_f14b2	0.0434552976732	7	0.598582039163
1np_f17d3	0.0250139373845	6	0.490322580645
1np_f14e5	0.00328628854787	1	0.102678571429
1np_f9f4	0.0413280126757	7	0.856230031949
1np_f9b2	0.0867932278982	14	0.875591615957
1np_f15c8	0.0307942842053	5	0.847546450691
1np_f8g2	0.0592412194478	9	0.792471520555
1np_f7d6	0.135823479358	13	0.918340894362
1np_f13f4	0.0430445116047	7	0.705180640763
1np_f8d3	0.117030016725	12	0.884543061301
1np_f5g1	0.00293418620346	1	0.19
1np_f15d2	0.0788855960799	9	0.911288822764
1np_f17e6	0.0445702884305	6	0.682356813693
1np_f15d5	0.00142308030868	1	0.0
1np_f9b5	0.0397288811948	7	0.717503692762
1np_f13c2	0.0671928640592	10	0.830131004367
1np_f17a2	0.0301927760336	7	0.562682215743
1np_f13f3	0.000205393034242	1	0.0
1np_f9c6	0.00151110589478	1	0.330097087379
1np_f14g4	0.0215662685954	6	0.517006802721
1np_f11b3	0.0515243097327	9	0.799259681093
1np_f14g6	0.00476805258062	1	0.169230769231
1np_f16f2	0.106848390599	10	0.887134422628
1np_f15b1	0.0719315747777	8	0.860493575362
1np_f6d3	0.0811009066635	9	0.928183791606
1np_f18b2	0.0782840879082	11	0.852698650675
1np_f7d4	0.153927408233	16	0.92012962257
1np_f8a1	0.0689973885743	11	0.871358707208
1np_f7d3	0.00312490830668	1	0.164319248826
1np_f14c7	0.00759954226695	1	0.104247104247
1np_f9a3	0.0965053842317	14	0.804347826087
1np_f12c4	0.0218743581468	3	0.76861167002
1np_f15c3	0.0489275549426	8	0.816191904048
1np_f15a8	0.023781579179	5	0.765576804442
1np_f15b6	0.0496317596315	8	0.873780668046
1np_f6d2	0.0928083096153	11	0.956054378754
1np_f11d4	0.0396115137467	5	0.928888888889
1np_f10e3	0.0656524163023	11	0.811173184358
1np_f15g3	0.0291951527244	6	0.894974874372
1np_f14e2	0.0752912179807	8	0.85931410756
1np_f10d1	0.149526128928	14	0.924156200942
1np_f17g2	0.0244124292128	3	0.4375
1np_f14d4	0.0943634283032	12	0.850279850746
1np_f9c3	0.00360904903025	1	0.158536585366
1np_f7a6	0.184516299404	11	0.92367019162
1np_f7g3	0.0893753117573	9	0.902330925804
1np_f8a4	0.0363398961298	7	0.309245054501
1np_f12f2	0.0709339514686	9	0.895553257497
1np_f15d8	0.0361198321645	9	0.912266450041
1np_f16b7	0.0672955605763	7	0.810115543928
1np_f8f5	0.023810921041	3	0.744300677757
1np_f17f3	0.0779466564948	9	0.714473931865
1np_f18c1	0.0734426806725	8	0.878545745106
1np_f15b8	0.0889791966198	10	0.875350370981
1np_f15f8	0.0988527331944	9	0.871178391214
1np_f11a3	0.0589037880344	9	0.911332503113
1np_f12e1	0.0966961063349	9	0.8969807313
1np_f14f7	0.0153311229131	2	0.294736842105
1np_f7a5	0.0940553387518	8	0.917953517392
1np_f15f7	0.05437047035	8	0.899082568807
1np_f7e5	0.131290161674	9	0.915856520282
1np_f6b2	0.0904462897215	8	0.927818329278
1np_f5g3	0.00302221178956	1	0.398058252427
1np_f15a4	0.000308089551363	1	0.190476190476
1np_f11g4	0.0697749479182	10	0.912321278385
1np_f12c3	0.00284616061735	1	0.278350515464
1np_f5c1	0.0526833132831	10	0.895015316068
1np_f10g5	0.00124702913647	1	0.517647058824
1np_f8b2	0.11854112262	10	0.518440594059
1np_f7g4	0.0024647164109	1	0.309523809524
1np_f7f6	0.180540477099	12	0.930359174386
1np_f7c1	0.14176520642	11	0.908517023699
1np_f10f4	0.0911651653414	11	0.904409398133
1np_f15b2	0.0133505472257	3	0.710989010989
water-control_f11h6	0.00269945130718	1	0.0326086956522
1np_f9b6	0.058595698483	7	0.739359038558
1np_f17a6	0.0683958804026	8	0.865937365937
1np_f16g6	0.144156568176	12	0.905556686342
1np_f10f5	0.145330242657	11	0.924793054714
1np_f18a4	0.034770106511	7	0.702109704641
1np_f11g5	0.000572166309674	1	0.0
1np_f14g1	0.0706698747102	9	0.80817936475
1np_f13e3	0.00355036530618	1	0.181818181818
1np_f11c1	0.0426483964672	7	0.908840729274
1np_f17f5	0.0821572136968	11	0.829821428571
1np_f13b3	0.0580088612423	7	0.739504299444
1np_f9d6	0.0480472990816	9	0.804885496183
1np_f16g3	0.0323934156862	8	0.717391304348
1np_f16b2	0.0554707901763	9	0.821475800053
1np_f16e4	0.0694375165048	8	0.792943165012
1np_f16f7	0.0825239869722	10	0.9312
