Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt04_F40D4	0.0586250403451	9	0.659409409409
expt07_G1	0.0198791115284	2	0.185977859779
expt04_F40D2	0.20810715648	19	0.62326401128
expt08_C3-1	0.131436870984	12	0.627971871861
expt03_F41G3	0.141779877351	13	0.836506622517
expt06_F43A1	0.0841524603151	11	0.708856345886
expt09_B3-2	0.159032892227	13	0.709225092251
expt01_F38A4	0.0023766908248	13	0.0493827160494
expt04_F40A3	0.123749303131	13	0.826911677534
expt01_F38F1	0.150347701065	13	0.839480874317
expt01_F38B8	0.00696869223321	1	0.128421052632
expt01_F38G4	0.0936005398903	12	0.613479623824
expt08_F5-1	0.1851764913	17	0.784661701791
expt04_F40F5	0.0955957865086	11	0.798956414979
expt01_F38D9	0.00949209236818	1	0.160741885626
expt04_F40E1	0.096754790059	12	0.755724033359
expt02_F37E5	0.281564508084	17	0.872759483118
expt04_F40E6	0.0412253161586	7	0.754804270463
expt07_E4	0.239899063995	13	0.865582191781
expt04_F40A6	0.00159913148088	1	0.0550458715596
expt10_B6	0.178002406033	15	0.883705596308
expt09_F2-2	0.184413602887	16	0.876849642005
expt05_F42G1	0.112423344385	13	0.780112227587
expt04_F40B6	2.93418620346e-05	2	0.0
expt11_G1H10	0.00107097796426	1	0.13698630137
expt01_F38H2	0.238901440685	13	0.922377794154
expt04_F40C4	0.108418180218	13	0.778349120433
expt01_F38E6	0.0391127020921	8	0.403975993998
expt03_F41A1	0.246383615504	16	0.891568417292
expt01_F38A6	0.0480179572196	9	0.446379468378
expt10_F5	0.173410404624	13	0.893908629442
expt04_F40B4	0.152342947683	11	0.790061633282
expt04_F40C5	0.114491945659	10	0.794848795489
expt01_F38A9	0.0340952436842	6	0.300344234079
expt11_G1G4	0.0400663126082	7	0.320029293299
expt07_D2	0.061984683548	9	0.348402366864
expt06_F43D2	0.171371145213	13	0.920725965243
expt02_F37E3	0.320369120624	18	0.745386271008
expt01_F38D2	0.19628238608	14	0.90372972569
expt02_F37D3	0.198072239664	16	0.867491296941
expt11_G1E8	0.0867198732432	10	0.859076298427
expt02_F37B5	0.0446143012236	8	0.471226570207
expt10_E5	0.166397699598	14	0.898959619115
expt11_G1B2	0.00274346410023	1	0.0427807486631
expt10_A5	0.213021918371	15	0.917286501377
expt01_F38B7	0.113905108418	11	0.582174137043
expt08_H4-1	0.269505002787	18	0.857267283615
expt09_D1-2	0.211056013615	15	0.872862505213
expt10_A2	0.127329010299	13	0.847563083305
expt04_F40B1	0.109621196561	11	0.724437901499
expt06_F43D1	0.279393210293	13	0.924123083386
expt02_F37A6	0.141281065696	14	0.834475597092
expt07_G2	0.0198791115284	3	0.132841328413
expt02_F37E6	0.188096006573	14	0.861633257936
expt07_C2	0.00344766878906	17	0.0425531914894
expt08_C2-1	0.0851500836243	12	0.583735354928
expt11_G1D12	5.86837240691e-05	4	0.0
expt04_F40E2	4.40127930518e-05	3	0.0
expt03_F41D1	0.162348522637	14	0.866076269655
expt09_H3-2	0.255024793873	16	0.90916412587
expt09_C4-2	0.352615827	17	0.915997503641
expt10_H6	0.196091663977	14	0.899446356427
expt04_F40F6	0.0407998591591	8	0.431139877742
expt10_B4	0.00648455150964	19	0.0588235294118
expt02_F37G5	0.151007892961	16	0.872146118721
expt11_G1A2	0.00906663536868	1	0.0906148867314
expt10_F2	0.249801942431	17	0.922064955659
expt06_F43B1	0.0751151668085	11	0.821484375
expt01_F38E8	0.169243860215	14	0.785540915395
expt05_F42A4	0.114477274728	12	0.76124567474
