Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
expt09_E3-2	33.5087215122	0	0.0
expt04_F40B3	33.7620655841	0	0.0
expt10_B3	33.867334767	0	0.0
expt11_G1B5	32.9501986101	0	0.0
expt07_A3	33.8090206109	0	0.0
expt01_F38D8	34.3428071126	0	0.0
expt06_F43F1	33.3874157971	0	0.0
expt07_G1	33.6466922858	0	0.0
expt11_G1C6	32.8262727482	0	0.0
expt06_F43B3	32.2462013077	0	0.0
expt04_F40C3	33.7220233944	0	0.0
expt11_G1C8	32.8089829594	0	0.0
expt11_G1G10	32.9610757289	0	0.0
expt04_F40G6	32.7129351421	0	0.0
expt01_F38A8	34.4511660275	0	0.0
expt02_F37A1	34.3424863144	0	0.0
expt09_B3-2	33.4988853667	0	0.0
expt11_G1F4	32.8976874536	0	0.0
expt07_C3	33.8734104668	0	0.0
expt08_B5-1	33.682936639	0	0.0
expt11_G1A2	32.9598080304	0	0.0
expt08_B4-1	33.6051367979	0	0.0
expt04_F40B5	33.7759834668	0	0.0
expt10_H3	33.9630813674	0	0.0
expt10_H5	33.9129693577	0	0.0
expt11_G1A10	32.7041850213	0	0.0
expt07_G2	33.6966018655	0	0.0
expt01_F38C6	34.3614681101	0	0.0
expt02_F37D1	34.3250805449	0	0.0
expt01_F38D5	34.2805590047	0	0.0
expt05_F42A2	33.3147933084	0	0.0
expt06_F43A3	33.4088003296	0	0.0
expt09_C2-2	33.4094965335	0	0.0
expt10_G5	33.9181174447	0	0.0
expt05_F42G1	33.4226789434	0	0.0
expt04_F40B6	33.7578020826	0	0.0
expt10_H1	33.9541688475	0	0.0
expt04_F40C6	33.721460783	0	0.0
expt11_G1D11	32.9008377108	0	0.0
expt10_A2	33.8463575473	0	0.0
expt04_F40A4	33.6927801378	0	0.0
expt10_F6	33.929144552	0	0.0
expt04_F40G5	33.6781882666	0	0.0
expt01_F38E1	34.3217995798	0	0.0
expt04_F40D4	33.476738629	0	0.0
expt11_G1C10	32.8301266116	0	0.0
expt01_F38D3	34.268019406	0	0.0
expt11_G1D7	32.9840560792	0	0.0
expt01_F38D6	34.2060378993	0	0.0
expt08_B6-1	33.6433423273	0	0.0
expt01_F38F7	34.4601802925	0	0.0
expt06_F43E2	33.2546616338	0	0.0
expt10_C4	33.9402906239	0	0.0
expt09_C3-2	33.4106588059	0	0.0
expt10_D2	33.7674038816	0	0.0
expt01_F38F1	34.3728019663	0	0.0
expt11_G1B9	32.9138885823	0	0.0
expt01_F38C8	34.4662702066	0	0.0
expt02_F37D2	33.6210934165	0	0.0
expt02_F37F5	27.6972753401	0	0.0
expt02_F37G1	34.4012019413	0	0.0
expt09_E2-2	33.4408530218	0	0.0
expt11_G1A8	32.8765426481	0	0.0
expt11_G1D10	32.9262739912	0	0.0
expt02_F37E2	33.7158880291	0	0.0
expt11_G1A5	32.9279623269	0	0.0
expt01_F38D4	34.2571991295	0	0.0
expt01_F38H1	34.3930028171	0	0.0
expt11_G1E1	32.9505994603	0	0.0
expt01_F38C5	34.4206303683	0	0.0
expt11_G1D4	32.9697222793	0	0.0
expt03_F41D3	33.7774979544	0	0.0
expt09_B4-2	33.5213529497	0	0.0
expt04_F40C5	33.7613150746	0	0.0
expt11_G1E3	32.9796426334	0	0.0
expt11_G1A12	32.8944936942	0	0.0
expt08_A4-1	33.6055718495	0	0.0
expt11_G1B2	32.9712480748	0	0.0
expt05_F42A1	33.311541604	0	0.0
expt09_F2-2	33.4000006608	0	0.0
expt05_F42C3	33.3898439139	0	0.0
expt04_F40B4	33.7341619516	0	0.0
expt09_B2-2	33.4378486341	0	0.0
expt01_F38H5	34.4610317967	0	0.0
expt11_G1B12	32.914777151	0	0.0
expt02_F37D6	33.6993667977	0	0.0
expt08_A3-1	33.5320163862	0	0.0
expt08_G4-1	33.5058045336	0	0.0
expt02_F37H1	34.383034362	0	0.0
expt11_G1D9	32.9425008597	0	0.0
expt03_F41E4	33.8655230385	0	0.0
expt10_D5	33.7621600305	0	0.0
expt08_B2-1	33.5104692282	0	0.0
expt09_F1-2	33.4397908036	0	0.0
expt07_B4	33.8214988629	0	0.0
expt10_A4	33.9022621261	0	0.0
expt11_G1G11	32.8985039866	0	0.0
expt04_F40E5	33.7390656884	0	0.0
expt09_H2-2	33.3651536458	0	0.0
expt11_G1C4	32.5927560963	0	0.0
expt06_F43B1	33.4436910553	0	0.0
expt11_G1H9	32.7995366274	0	0.0
expt02_F37C6	34.314414927	0	0.0
expt03_F41B1	33.8049356976	0	0.0
expt01_F38C2	34.3992040634	0	0.0
expt10_G2	33.9068238442	0	0.0
expt01_F38C1	34.3783455319	0	0.0
expt11_G1C7	32.8805356448	0	0.0
expt02_F37H5	34.3154623384	0	0.0
expt08_H3-1	33.4064935672	0	0.0
expt09_H3-2	33.4688820822	0	0.0
